"","nace_r2_code","geo_code","nace_r2_name","geo_name","year","COMP","EMP","EMPE","GO_CP","GO_PI","GO_PYP","GO_Q","H_EMP","H_EMPE","II_CP","II_PI","II_PYP","II_Q","VA_CP","VA_PI","VA_PYP","VA_Q"
"1","A","AT","Agriculture, forestry and fishing","Austria",1995,348.5,271.94,20.29,7664.7,94.0449837274383,8095.9,8150.03596812125,710034,38627,3820.9,78.7675486890121,4177.6,4850.85554088471,3843.8,112.690506841253,3918.3,3410.93505366405
"2","A","EU28","Agriculture, forestry and fishing","European Union - 28 countries (2013-2020)",2018,93737.5373252146,10245.606,3456.289,826068.018626538,NA,NA,NA,19566967.9,5833508.5,464706.842504658,NA,NA,NA,361360.991088807,92.5282922488685,361754.658097977,390541.079172707
"3","A","IE","Agriculture, forestry and fishing","Ireland",2015,669.1,109.4,26.33,7851.6,NA,8146.80165146527,NA,269863,60339,5486.3,NA,5566.80165146527,NA,2365.3,88.1149330163547,2580,2684.335014544
"4","A","CZ","Agriculture, forestry and fishing","Czechia",2019,50933,155.31,108.35,285968,102.805050968929,286380,278165.320968936,304896,195983,174579,101.409059708027,173594,172153.25780817,111389,105.084641047819,112786,105999.315303663
"5","A","LV","Agriculture, forestry and fishing","Latvia",2012,240.5,67.97,32.13,2354.4,88.5396146862166,2239.6,2659.14868541496,139192,64118,1608.8,96.7346271515082,1465.5,1663.10663241639,745.6,75.0947670206127,774,992.878771160367
"6","A","RO","Agriculture, forestry and fishing","Romania",2009,3186.1,2822.2,316.9,67595.3,81.3184234194839,71134.2,83124.2136253765,4491728,388588,35123.5,83.731957033244,37840.1,41947.5445749524,32471.8,79.3634747863046,33294.1,40915.2952128597
"7","A","EU19","Agriculture, forestry and fishing","EU20 without the UK",2013,58851.791642172,7070.29,2433.58,560794.174953469,NA,552065.607607557,NA,13452684.3,3882107,319869.735215341,NA,313301.396816016,NA,240923.975035613,85.6129335260666,238764.197571261,281410.722787882
"8","A","US","Agriculture, forestry and fishing","United States",2006,38000,3313001,1157860,304000,75.8861707438842,NA,400600,5573920.13695357,2401783.63689951,176900,74.5469869363675,NA,237300,133600,78.6340000000001,NA,169901.060609914
"9","A","FI","Agriculture, forestry and fishing","Finland",2010,987,109.2,30.8,8547,92.3606052056992,8025,9253.94542507026,225400,61500,4094,90.1861815832394,3993,4539.49810062792,4453,94.6618767643825,4032,4704.11125598503
"10","A","AT","Agriculture, forestry and fishing","Austria",2014,621.8,188.03,27.09,9765.2,105.089250070007,10178,9292.29202177652,435834,49836,5554.5,107.928659104712,5745.7,5146.45511773759,4210.8,101.26930220777,4432.3,4158.02213326291
"11","A","BG","Agriculture, forestry and fishing","Bulgaria",2004,308.7,753.26,88.5,7391,NA,7334.20815996849,NA,1129436,152940,3908.6,NA,3878.90815996849,NA,3482.4,64.8561024116248,3455.3,5369.42534396858
"12","A","IT","Agriculture, forestry and fishing","Italy",2007,6837.1,968.2,423.4,52876.7,NA,51420.1360697706,NA,2348824,725973,22159,NA,20804.7360697706,NA,30717.7,89.7972733878978,30615.4,34207.8315310406
"13","A","MT","Agriculture, forestry and fishing","Malta",2004,10.9,3.18,0.81,200,NA,205.967330731869,NA,14328,1500,109.5,NA,112.367330731869,NA,90.5,63.7974680908073,93.6,141.855159316331
"14","A","ES","Agriculture, forestry and fishing","Spain",2008,4698,856.9,439.6,47414,NA,47664.3721903472,NA,1626880,737657,21231,NA,21401.3721903472,NA,26183,93.2368757994884,26263,28082.2365351539
"15","A","SE","Agriculture, forestry and fishing","Sweden",2001,8993,133,35,130554,79.4250875650832,127938,164373.756457014,283400,67430,85674,71.5326946353388,83214,119769.009732894,44880,98.8828763349627,44724,45387.0292445483
"16","A","EU20","Agriculture, forestry and fishing","AT, BE, CZ, DE, DK, EE, ES, FI, FR, HU, IT, LT, LU, LV, NL, RO, SE, SI, SK and UK",2005,49840.2996753884,8683.844,2851.555,414605.050634966,NA,431496.830409978,NA,17293708.6,4591168.6,222057.687705344,NA,228682.698727584,NA,192548.717889033,66.6730258568848,202814.131682394,288795.52924798
"17","A","FR","Agriculture, forestry and fishing","France",2002,7607.8,888.4,368.2,71980.8,82.64458556351,73236.5,87096.8128271208,2035136,482215,41932.8,78.7265238981882,40964.3,53263.8784537584,30048,87.7522852046796,32272.2,34241.8433091673
"18","A","JP","Agriculture, forestry and fishing","Japan",1999,1767008.1139083,4391760.015625,487447.90625,15261853,88.392049405316,15741420,17266092.4853295,6719078.734375,866423.8828125,6793435,78.85042155367,7033592,8615597.5657987,8468418,93.7303103933403,8707828,9034876.72713575
"19","A","DK","Agriculture, forestry and fishing","Denmark",2003,7141.6,83.92,38.79,62589.4,74.9457615378345,64445.3,83512.9281705989,147936,61540,39754.2,75.0575497756884,39589.4,52964.9583803449,22835.3,72.2300539403674,24855.9,31614.6794225748
"20","A","LT","Agriculture, forestry and fishing","Lithuania",2016,457.4,108.42,51.09,3360,NA,3568.55413105413,NA,215981,99846,2148.6,NA,2332.85413105413,NA,1211.4,79.6895853894719,1235.7,1520.14845362722
"21","A","NL","Agriculture, forestry and fishing","Netherlands",1996,1881,237,99,21399,85.022289901458,20900,25168.6940269448,446058,127560,11447,72.3166239580282,11105,15829.0022037585,9952,105.032229630783,9795,9475.18684025278
"22","A","EU11","Agriculture, forestry and fishing","EU12 without UK",2000,34367.865469879,4879.35,2002.26,321378.45444944,NA,NA,NA,10631847.6,3202766.7,158658.245516131,NA,NA,NA,162720.220467071,70.5692390683156,159301.908983277,230582.36508622
"23","A","SE","Agriculture, forestry and fishing","Sweden",2020,17785,138,41,182297,100,186169,182297,252970,79290,122062,100,124385,122062,60235,100,61784,60235
"24","A","EU27","Agriculture, forestry and fishing","European Union - 27 countries (from 2020)",1997,46640.1606697922,16784.5,3834.15,490137.600496305,NA,NA,NA,33321103.8,6863394.5,249836.560294226,NA,NA,NA,240301.31088394,NA,NA,NA
"25","A","FR","Agriculture, forestry and fishing","France",2021,9222,710.8,355.1,94310.6,106.790210827514,88313.9,88313.9,1465276,488604,57608.4,102.720629927999,56082.6,56082.6,36702.2,113.871299016794,32231.3,32231.3
"26","A","BG","Agriculture, forestry and fishing","Bulgaria",1998,375.5,844.29,140.45,7131.8,NA,NA,NA,1205220,232221,3583.1,NA,NA,NA,3548.7,60.6417629455341,3149.2,5851.90770787336
"27","A","JP","Agriculture, forestry and fishing","Japan",2018,3691400.40817787,2784709.2578125,755456.796875,13548773,101.580266799836,13360690,13337997.0606868,4039775.15625,1226828.453125,7414883,101.914738834801,7217185,7275574.74490437,6133890,100.889523255644,6143505,6079808.68782317
